 Point_X, Point_Y, Object Type
9.184850993605148E-17,-0.5,EmptySpace
1.8369701987210297E-16,-1.0,EmptySpace
2.755455298081545E-16,-1.5,EmptySpace
3.6739403974420594E-16,-2.0,EmptySpace
4.592425496802574E-16,-2.5,EmptySpace
5.510910596163089E-16,-3.0,EmptySpace
6.429395695523603E-16,-3.5,EmptySpace
7.347880794884118E-16,-4.0,EmptySpace
8.266365894244632E-16,-4.5,EmptySpace
9.184850993605148E-16,-5.0,EmptySpace
1.0103336092965664E-15,-5.5,EmptySpace
1.102182119232618E-15,-6.0,EmptySpace
1.1940306291686695E-15,-6.5,EmptySpace
16.182174385128235,-6.499999999999994,Wall
16.138836390436555,-6.499999999999994,Wall
16.254219468568074,-6.499999999999994,Wall
16.144212816231214,-6.499999999999994,Wall
16.254219468568074,-6.499999999999994,Wall
16.322557218123826,-6.499999999999994,Wall
16.202289492278314,-6.499999999999994,Wall
16.2862669048619,-6.499999999999994,Wall
16.322557218123826,-6.499999999999994,Wall
16.138836390436555,-6.499999999999994,Wall
16.286266904861904,-6.499999999999994,Wall
16.182174385128235,-6.499999999999994,Wall
16.22626892723472,-6.499999999999994,Wall
16.144212816231214,-6.499999999999994,Wall
16.202289492278314,-6.499999999999994,Wall
16.153199322731787,-6.499999999999994,Wall
16.16583484651184,-6.499999999999994,Wall
16.165834846511842,-6.499999999999994,Wall
16.13704682132419,-6.499999999999994,Wall
16.226268927234724,-6.499999999999994,Wall
16.153199322731787,-6.499999999999994,Wall
16.182174385128235,-6.499999999999994,Wall
16.138836390436555,-6.499999999999994,Wall
16.254219468568074,-6.499999999999994,Wall
16.144212816231214,-6.499999999999994,Wall
16.254219468568074,-6.499999999999994,Wall
16.322557218123826,-6.499999999999994,Wall
16.202289492278314,-6.499999999999994,Wall
16.2862669048619,-6.499999999999994,Wall
16.322557218123826,-6.499999999999994,Wall
16.138836390436555,-6.499999999999994,Wall
16.286266904861904,-6.499999999999994,Wall
16.182174385128235,-6.499999999999994,Wall
16.22626892723472,-6.499999999999994,Wall
16.144212816231214,-6.499999999999994,Wall
16.202289492278314,-6.499999999999994,Wall
16.153199322731787,-6.499999999999994,Wall
16.16583484651184,-6.499999999999994,Wall
16.165834846511842,-6.499999999999994,Wall
16.13704682132419,-6.499999999999994,Wall
16.226268927234724,-6.499999999999994,Wall
16.153199322731787,-6.499999999999994,Wall
13.218456966817156,-15.894993122539708,Wall
13.101704926309068,-15.81201183203284,Wall
13.312466014281963,-15.961809874041455,Wall
13.012269229607845,-15.748445580879105,Wall
13.263777460944295,-15.927204577454864,Wall
12.90278413645259,-15.670629259367722,Wall
13.068930300521789,-15.788717329154156,Wall
13.36464590011383,-15.998896628551147,Wall
13.176397183796412,-15.865099211835352,Wall
12.902775676501282,-15.670623246473436,Wall
12.967269841589372,-15.71646235151933,Wall
13.420457345787415,-16.038564507304216,Wall
12.905974456695187,-15.672896773406094,Wall
12.988319672203657,-15.731423478551651,Wall
13.039131045479282,-15.767537565367508,Wall
12.933882659709989,-15.692732475564426,Wall
13.13750582128533,-15.83745724997588,Wall
12.949119866280252,-15.703562291124118,Wall
12.921584160774813,-15.683991340861366,Wall
12.912263694214166,-15.677366836998628,Wall
13.218456966817156,-15.894993122539708,Wall
13.101704926309068,-15.81201183203284,Wall
13.312466014281963,-15.961809874041455,Wall
13.012269229607845,-15.748445580879105,Wall
13.263777460944295,-15.927204577454864,Wall
12.90278413645259,-15.670629259367722,Wall
13.068930300521789,-15.788717329154156,Wall
13.36464590011383,-15.998896628551147,Wall
13.176397183796412,-15.865099211835352,Wall
12.902775676501282,-15.670623246473436,Wall
12.967269841589372,-15.71646235151933,Wall
13.420457345787415,-16.038564507304216,Wall
12.905974456695187,-15.672896773406094,Wall
12.988319672203657,-15.731423478551651,Wall
13.039131045479282,-15.767537565367508,Wall
12.933882659709989,-15.692732475564426,Wall
13.13750582128533,-15.83745724997588,Wall
12.949119866280252,-15.703562291124118,Wall
12.921584160774813,-15.683991340861366,Wall
12.912263694214166,-15.677366836998628,Wall
3.822300847727132,-22.11260911736865,Wall
3.7343487828712227,-21.753359214138953,Wall
3.7762904121343346,-21.924674421789323,Wall
3.7987665508812367,-22.016480687884727,Wall
3.7548302761388292,-21.8370181309187,Wall
3.84694056995062,-22.21325277865047,Wall
3.822300847727132,-22.11260911736865,Wall
3.7343487828712227,-21.753359214138953,Wall
3.7762904121343346,-21.924674421789323,Wall
3.7987665508812367,-22.016480687884727,Wall
3.7548302761388292,-21.8370181309187,Wall
3.84694056995062,-22.21325277865047,Wall
-0.3086667752583089,-6.893350761854653,EmptySpace
3.52788164255034,-22.564155649628802,Wall
3.6551392330932244,-23.083953304893335,Wall
3.551063471569235,-22.65884438542334,Wall
3.505725508567877,-22.47365647826558,Wall
3.4845499609651696,-22.38716262005348,Wall
3.684322185021796,-23.203154288673215,Wall
3.4643146854545277,-22.30450940684087,Wall
3.600710807968451,-22.861634403215998,Wall
3.5753212537065524,-22.75792797032468,Wall
3.6272939890020677,-22.97021633622132,Wall
3.52788164255034,-22.564155649628802,Wall
3.6551392330932244,-23.083953304893335,Wall
3.551063471569235,-22.65884438542334,Wall
3.505725508567877,-22.47365647826558,Wall
3.4845499609651696,-22.38716262005348,Wall
3.684322185021796,-23.203154288673215,Wall
3.4643146854545277,-22.30450940684087,Wall
3.600710807968451,-22.861634403215998,Wall
3.5753212537065524,-22.75792797032468,Wall
3.6272939890020677,-22.97021633622132,Wall
-0.78402852385306,-7.04837078628034,EmptySpace
-1.2593902724478112,-7.2033908107060265,EmptySpace
-14.854378375248617,-17.125493200659903,Wall
-14.898737624883298,-17.157868147477707,Wall
-14.812895297591869,-17.095217385716317,Wall
-14.774261440872058,-17.06702103282552,Wall
-14.854378375248617,-17.125493200659903,Wall
-14.898737624883298,-17.157868147477707,Wall
-14.812895297591869,-17.095217385716317,Wall
-14.774261440872058,-17.06702103282552,Wall
-1.7347520210425624,-7.358410835131713,EmptySpace
-15.516776278282657,-17.41701881530288,Wall
-15.744652657210047,-17.583331043520552,Wall
-15.001621176661796,-17.041040430743926,Wall
-14.958061627522172,-17.00924913358681,Wall
-15.202184185990918,-17.187418397326393,Wall
-15.381809010569265,-17.318514937298847,Wall
-14.750928190899378,-16.858075837147442,Wall
-15.589191271004289,-17.469869834142962,Wall
-14.778911343888446,-16.87849893035295,Wall
-14.917077049844703,-16.979337141531364,Wall
-14.809553759542721,-16.900862847356645,Wall
-15.148007555313434,-17.147878379147638,Wall
-15.047775580160517,-17.07472554424301,Wall
-15.447694547654475,-17.366600528844298,Wall
-14.842812867147034,-16.925136518547315,Wall
-14.878659441557714,-16.951298614383106,Wall
-15.259154192821477,-17.228997120062658,Wall
-15.665093016725324,-17.52526560844785,Wall
-15.096556528278116,-17.110327602754715,Wall
-15.318997967422364,-17.27267321999753,Wall
-15.516776278282657,-17.41701881530288,Wall
-15.744652657210047,-17.583331043520552,Wall
-15.001621176661796,-17.041040430743926,Wall
-14.958061627522172,-17.00924913358681,Wall
-15.202184185990918,-17.187418397326393,Wall
-15.381809010569265,-17.318514937298847,Wall
-14.750928190899378,-16.858075837147442,Wall
-15.589191271004289,-17.469869834142962,Wall
-14.778911343888446,-16.87849893035295,Wall
-14.917077049844703,-16.979337141531364,Wall
-14.809553759542721,-16.900862847356645,Wall
-15.148007555313434,-17.147878379147638,Wall
-15.047775580160517,-17.07472554424301,Wall
-15.447694547654475,-17.366600528844298,Wall
-14.842812867147034,-16.925136518547315,Wall
-14.878659441557714,-16.951298614383106,Wall
-15.259154192821477,-17.228997120062658,Wall
-15.665093016725324,-17.52526560844785,Wall
-15.096556528278116,-17.110327602754715,Wall
-15.318997967422364,-17.27267321999753,Wall
-17.820435290445484,-1.3269296602662415,Wall
-17.856900583631074,-1.3132566489492046,Wall
-17.799578031679967,-1.3347502894242718,Wall
-17.70878727243354,-1.3687931551251138,Wall
-17.826333134246852,-1.3247182071831203,Wall
-17.71210092071281,-1.367550670930826,Wall
-17.727011369804632,-1.3619598550792436,Wall
-17.773333464459554,-1.3445909415421395,Wall
-17.754712320162774,-1.3515731181397683,Wall
-17.956848311675767,-1.2757802899984592,Wall
-18.00052738958977,-1.2594024009301767,Wall
-17.849088896992047,-1.3161857157546448,Wall
-17.88128671090651,-1.3041128367078283,Wall
-17.728001891619435,-1.3615884494274457,Wall
-17.739287966190545,-1.3573566275536901,Wall
-17.71784757132139,-1.365395909185013,Wall
-17.795214927040995,-1.3363862773430437,Wall
-17.718455897551415,-1.3651678114323014,Wall
-17.917157351139533,-1.290662796217016,Wall
-17.740801308023713,-1.3567891855230965,Wall
-17.70888922453051,-1.3687549272088164,Wall
-17.71177539268993,-1.3676727307842373,Wall
-17.776487177324576,-1.3434084266649196,Wall
-17.756931829719633,-1.350740891750287,Wall
-17.891449350211722,-1.3003022576587604,Wall
-17.820435290445484,-1.3269296602662415,Wall
-17.856900583631074,-1.3132566489492046,Wall
-17.799578031679967,-1.3347502894242718,Wall
-17.70878727243354,-1.3687931551251138,Wall
-17.826333134246852,-1.3247182071831203,Wall
-17.71210092071281,-1.367550670930826,Wall
-17.727011369804632,-1.3619598550792436,Wall
-17.773333464459554,-1.3445909415421395,Wall
-17.754712320162774,-1.3515731181397683,Wall
-17.956848311675767,-1.2757802899984592,Wall
-18.00052738958977,-1.2594024009301767,Wall
-17.849088896992047,-1.3161857157546448,Wall
-17.88128671090651,-1.3041128367078283,Wall
-17.728001891619435,-1.3615884494274457,Wall
-17.739287966190545,-1.3573566275536901,Wall
-17.71784757132139,-1.365395909185013,Wall
-17.795214927040995,-1.3363862773430437,Wall
-17.718455897551415,-1.3651678114323014,Wall
-17.917157351139533,-1.290662796217016,Wall
-17.740801308023713,-1.3567891855230965,Wall
-17.70888922453051,-1.3687549272088164,Wall
-17.71177539268993,-1.3676727307842373,Wall
-17.776487177324576,-1.3434084266649196,Wall
-17.756931829719633,-1.350740891750287,Wall
-17.891449350211722,-1.3003022576587604,Wall
-10.930110397499412,6.844719999224476,Wall
-11.211443697443586,7.2792668111680845,Wall
-11.249835755965352,7.3385671024521075,Wall
-10.963948336731137,6.896986007616678,Wall
-10.983581575769078,6.927311466543,Wall
-11.11033721407233,7.123097953714926,Wall
-11.02842583012825,6.996577805684628,Wall
-11.005061389826501,6.960489141285543,Wall
-11.081003683340805,7.077789445035136,Wall
-11.14179656355357,7.171689997477979,Wall
-11.053721456298643,7.03564937563615,Wall
-10.91587011710179,6.822724492652029,Wall
-11.175466683624089,7.223696792753571,Wall
-10.946131863248251,6.869466720871729,Wall
-10.930110397499412,6.844719999224476,Wall
-11.211443697443586,7.2792668111680845,Wall
-11.249835755965352,7.3385671024521075,Wall
-10.963948336731137,6.896986007616678,Wall
-10.983581575769078,6.927311466543,Wall
-11.11033721407233,7.123097953714926,Wall
-11.02842583012825,6.996577805684628,Wall
-11.005061389826501,6.960489141285543,Wall
-11.081003683340805,7.077789445035136,Wall
-11.14179656355357,7.171689997477979,Wall
-11.053721456298643,7.03564937563615,Wall
-10.91587011710179,6.822724492652029,Wall
-11.175466683624089,7.223696792753571,Wall
-10.946131863248251,6.869466720871729,Wall
0.019335317452273015,9.923150460819343,Wall
0.019335317452273015,9.923150460819343,Wall
-2.069979244073037,-6.987435486975968,EmptySpace
-0.3615962484609567,9.84383899275689,Wall
-0.3390160247807681,10.066303126122282,Wall
-0.3720991482023652,9.740362671092011,Wall
-0.35057880978340705,9.95238463792062,Wall
-0.3615962484609567,9.84383899275689,Wall
-0.3390160247807681,10.066303126122282,Wall
-0.3720991482023652,9.740362671092011,Wall
-0.35057880978340705,9.95238463792062,Wall
-2.4052064671035116,-6.616460138820222,EmptySpace
-0.6972788603461955,10.210327773890349,Wall
-0.7323693984446566,9.864609934334638,Wall
-0.7429112201635237,9.760750146849986,Wall
-0.7624621856595399,9.568130770836273,Wall
-0.7212745756683763,9.973917980558,Wall
-0.7095909409004113,10.089027100822982,Wall
-0.7529324029013313,9.662019781525103,Wall
-0.6972788603461955,10.210327773890349,Wall
-0.7323693984446566,9.864609934334638,Wall
-0.7429112201635237,9.760750146849986,Wall
-0.7624621856595399,9.568130770836273,Wall
-0.7212745756683763,9.973917980558,Wall
-0.7095909409004113,10.089027100822982,Wall
-0.7529324029013313,9.662019781525103,Wall
-2.7404336901339863,-6.245484790664476,EmptySpace
-1.1340639527632277,9.580738038213955,Wall
-1.1245458779492108,9.674511700282014,Wall
-1.0926972319761536,9.988289877398735,Wall
-1.1038983061775858,9.877935024396578,Wall
-1.1430868561107868,9.491842888100113,Wall
-1.0683315368060435,10.228344773959382,Wall
-1.0550693099028372,10.359006447479718,Wall
-1.0808570595906786,10.104941232404691,Wall
-1.1145019811439216,9.773465848391737,Wall
-1.1340639527632277,9.580738038213955,Wall
-1.1245458779492108,9.674511700282014,Wall
-1.0926972319761536,9.988289877398735,Wall
-1.1038983061775858,9.877935024396578,Wall
-1.1430868561107868,9.491842888100113,Wall
-1.0683315368060435,10.228344773959382,Wall
-1.0550693099028372,10.359006447479718,Wall
-1.0808570595906786,10.104941232404691,Wall
-1.1145019811439216,9.773465848391737,Wall
-3.075660913164461,-5.874509442508731,EmptySpace
-1.4263620283249223,10.374658514062851,Wall
-1.4761286305232941,9.884349640891024,Wall
-1.4063731672295259,10.571592110626387,Wall
-1.4647889910012477,9.996069662564743,Wall
-1.4249240171010285,10.38882604071025,Wall
-1.4868195000189484,9.779021409826601,Wall
-1.415920409155355,10.47753108930343,Wall
-1.452751855344422,10.114661532602188,Wall
-1.5064259431466984,9.585855458923302,Wall
-1.5395146770025139,9.259859728958475,Wall
-1.4969054423146242,9.679653022526278,Wall
-1.4399630058591313,10.240659412772963,Wall
-1.4118814928390742,10.517323167130591,Wall
-1.4263620283249223,10.374658514062851,Wall
-1.4761286305232941,9.884349640891024,Wall
-1.4063731672295259,10.571592110626387,Wall
-1.4647889910012477,9.996069662564743,Wall
-1.4249240171010285,10.38882604071025,Wall
-1.4868195000189484,9.779021409826601,Wall
-1.415920409155355,10.47753108930343,Wall
-1.452751855344422,10.114661532602188,Wall
-1.5064259431466984,9.585855458923302,Wall
-1.5395146770025139,9.259859728958475,Wall
-1.4969054423146242,9.679653022526278,Wall
-1.4399630058591313,10.240659412772963,Wall
-1.4118814928390742,10.517323167130591,Wall
7.480405371558234,6.902429002475315,Wall
7.480405371558234,6.902429002475315,Wall
-3.2886971105553884,-5.422164907224824,EmptySpace
7.0280377978370865,7.0650896554450195,Wall
6.919432696197632,6.933635318097137,Wall
7.0280377978370865,7.0650896554450195,Wall
6.919432696197632,6.933635318097137,Wall
-3.5017333079463158,-4.969820371940917,EmptySpace
6.466922386272845,7.096123204845166,Wall
6.365321089999744,6.973146191116977,Wall
6.574829776331011,7.226733040303231,Wall
6.689608674573076,7.36566006842775,Wall
6.466922386272845,7.096123204845166,Wall
6.365321089999744,6.973146191116977,Wall
6.574829776331011,7.226733040303231,Wall
6.689608674573076,7.36566006842775,Wall
